type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_5281959998	5281959998_10151808900229999	https://www.facebook.com/5281959998/posts/10151808900229999/	"Although over for now  the U.S. government shutdown inflicted pain that ran deep: Missed payments and debt for federal workers  losses for businesses that rely on them  and for some  steep drops in credit ratings."	https://external.xx.fbcdn.net/safe_image.php?d=AQC2MX6lS_gsaYyb&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Fus%2F27shutamerica-01%2F00shutamerica-01-facebookJumbo.jpg&cfs=1&sx=501&sy=0&sw=549&sh=549&_nc_hash=AQCMG0hFjY0IxnBI	https://external.xx.fbcdn.net/safe_image.php?d=AQBY4snrQT8gXDB8&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Fus%2F27shutamerica-01%2F00shutamerica-01-facebookJumbo.jpg&_nc_hash=AQBWk3U0XleBb6SU	https://www.nytimes.com/2019/01/26/us/government-shutdown-over.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-26T18:25:00+0000	1548527100	"2019-01-26 19:25:00"	354	485	756	117	1358	7	6	8	155	226	0
link	post_page_5281959998	5281959998_10151809046499999	https://www.facebook.com/5281959998/posts/10151809046499999/	"An Al Qaeda-linked rebel group has taken control of Syria s last rebel-held pocket. That means Russia and the Syrian government might attack  putting 2 million civilians in the path of a military onslaught."	https://external.xx.fbcdn.net/safe_image.php?d=AQADcyQzc4fDmjLW&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Fworld%2F27idlib%2F27idlib-facebookJumbo.jpg&cfs=1&_nc_hash=AQA8TLbtKhNrRsCi	https://external.xx.fbcdn.net/safe_image.php?d=AQBCTXUSGdFWk48U&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Fworld%2F27idlib%2F27idlib-facebookJumbo.jpg&_nc_hash=AQACj6TDCqLc3e99	https://www.nytimes.com/2019/01/26/world/middleeast/syria-war-idlib.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-26T18:10:00+0000	1548526200	"2019-01-26 19:10:00"	71	116	216	48	380	4	3	8	83	47	0
link	post_page_5281959998	5281959998_10151809060739999	https://www.facebook.com/5281959998/posts/10151809060739999/	"In The New York Times Opinion Section  Julian Sanchez writes   There were also several indications that the probe may not be as near its conclusion as many observers assume — and that the true target of Friday’s FBI actions was not Mr. Stone himself  but his electronic devices. "	https://external.xx.fbcdn.net/safe_image.php?d=AQCySgDDNQay2JVg&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F26%2Fopinion%2F26sanchez%2F26sanchez-facebookJumbo.jpg&cfs=1&sx=0&sy=0&sw=550&sh=550&_nc_hash=AQAvVSpPrWN9_Igc	https://external.xx.fbcdn.net/safe_image.php?d=AQAuSI22DPd1vlOz&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F26%2Fopinion%2F26sanchez%2F26sanchez-facebookJumbo.jpg&_nc_hash=AQBd9wWHZfMa1Zyp	https://www.nytimes.com/2019/01/26/opinion/roger-stone-indictment-mueller-investigation.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-26T17:59:44+0000	1548525584	"2019-01-26 18:59:44"	1356	325	1626	193	2144	111	40	116	1	2	0
link	post_page_5281959998	5281959998_10151808750004999	https://www.facebook.com/5281959998/posts/10151808750004999/	"The Texas secretary of state has questioned the citizenship of 95 000 registered voters. The findings of an 11-month investigation seemed certain to reignite partisan debates over the frequency and impact of voter fraud."	https://external.xx.fbcdn.net/safe_image.php?d=AQAnymklboYGjXis&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F26%2Fus%2F26xp-texasvoters%2F26xp-texasvoters-facebookJumbo.jpg&cfs=1&sx=236&sy=0&sw=549&sh=549&_nc_hash=AQA5bM63dimyc35Z	https://external.xx.fbcdn.net/safe_image.php?d=AQAgiXPTBpMTT6Fc&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F26%2Fus%2F26xp-texasvoters%2F26xp-texasvoters-facebookJumbo.jpg&_nc_hash=AQB90ejAqYxbivLB	https://www.nytimes.com/2019/01/25/us/noncitizens-voting-texas.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-26T17:25:00+0000	1548523500	"2019-01-26 18:25:00"	381	809	3084	545	4438	14	77	295	65	2252	0
link	post_page_5281959998	5281959998_10151808972059999	https://www.facebook.com/5281959998/posts/10151808972059999/	"Rescue workers at the site of dam collapse in Brazil are searching for hundreds of missing under the mud and sludge. At least 9 people are dead."	https://external.xx.fbcdn.net/safe_image.php?d=AQBIJiHESHc1Xiih&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Fworld%2F27brazil1%2F27brazil1-facebookJumbo.jpg&cfs=1&_nc_hash=AQC6w7QzmAo6BPkz	https://external.xx.fbcdn.net/safe_image.php?d=AQAVzJcbrDWijoC1&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Fworld%2F27brazil1%2F27brazil1-facebookJumbo.jpg&_nc_hash=AQACxlFCRL-CujG7	https://www.nytimes.com/2019/01/26/world/americas/brazil-dam-break.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-26T16:55:00+0000	1548521700	"2019-01-26 17:55:00"	197	102	892	158	1152	1	2	51	613	28	0
link	post_page_5281959998	5281959998_10151808859569999	https://www.facebook.com/5281959998/posts/10151808859569999/	"Bruised by the shutdown fight  President Trump faces a cloudier path to re-election  and advisers fear a challenge in the Republican primary."	https://external.xx.fbcdn.net/safe_image.php?d=AQBir9K5KlYz-YWZ&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Fus%2Fpolitics%2F27trumpreelect1-print-sub%2F27trumpreelect1-facebookJumbo.jpg&cfs=1&sx=0&sy=0&sw=550&sh=550&_nc_hash=AQBGiBZjXYzvE3wn	https://external.xx.fbcdn.net/safe_image.php?d=AQAob5Ji1utyPlFL&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Fus%2Fpolitics%2F27trumpreelect1-print-sub%2F27trumpreelect1-facebookJumbo.jpg&_nc_hash=AQDkuGl0sVQMoHwt	https://www.nytimes.com/2019/01/26/us/politics/donald-trump-2020-election.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-26T16:25:00+0000	1548519900	"2019-01-26 17:25:00"	4890	2288	8083	833	11204	749	2349	42	9	44	0
link	post_page_5281959998	5281959998_10151808733544999	https://www.facebook.com/5281959998/posts/10151808733544999/	"A father-and-son hunting pair fatally shot a mother black bear and her cubs in their den on a remote island in Alaska. A research camera recorded the whole thing."	https://external.xx.fbcdn.net/safe_image.php?d=AQBEKWZcvInopgBR&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Fus%2F27xp-alaska-print%2F27xp-alaska-facebookJumbo.png&cfs=1&_nc_hash=AQDJc3a3r_MaP36r	https://external.xx.fbcdn.net/safe_image.php?d=AQAjuHb6uZkl0uTG&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Fus%2F27xp-alaska-print%2F27xp-alaska-facebookJumbo.png&_nc_hash=AQDy2ZP2xnJ2zImn	https://www.nytimes.com/2019/01/26/us/andrew-owen-renner-alaska.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-26T15:55:00+0000	1548518100	"2019-01-26 16:55:00"	10178	5205	38287	5356	48848	262	23	446	6083	21295	0
link	post_page_5281959998	5281959998_10151808261014999	https://www.facebook.com/5281959998/posts/10151808261014999/	"Your weekend playlist is here  with the songs our music critics think you need to hear."	https://external.xx.fbcdn.net/safe_image.php?d=AQAjgjfu-mH6IAjR&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F26%2Farts%2F26playlist%2F26playlist-facebookJumbo.jpg&cfs=1&sx=389&sy=0&sw=549&sh=549&_nc_hash=AQD351oskqLLW1H6	https://external.xx.fbcdn.net/safe_image.php?d=AQCoqGXTVD46PRk1&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F26%2Farts%2F26playlist%2F26playlist-facebookJumbo.jpg&_nc_hash=AQDQVPxCU_VgKsjF	https://www.nytimes.com/2019/01/25/arts/music/playlist-j-cole-vampire-weekend-dua-lipa-daddy-yankee.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-26T15:25:00+0000	1548516300	"2019-01-26 16:25:00"	338	29	389	51	469	48	1	2	0	0	0
link	post_page_5281959998	5281959998_10151808786354999	https://www.facebook.com/5281959998/posts/10151808786354999/	"Donald Trump and his associates had more than 100 contacts with Russians and WikiLeaks before the inauguration  a Times analysis found. Here s who met with whom  and when."	https://external.xx.fbcdn.net/safe_image.php?d=AQAty8if8dJxfIiW&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F25%2Fus%2Ftrump-contacts-russians-wikileaks-promo-1548467557347%2Ftrump-contacts-russians-wikileaks-promo-1548467557347-facebookJumbo.png&cfs=1&_nc_hash=AQAp3uPxuGvRya_6	https://external.xx.fbcdn.net/safe_image.php?d=AQDx65pUtqaydI4B&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F25%2Fus%2Ftrump-contacts-russians-wikileaks-promo-1548467557347%2Ftrump-contacts-russians-wikileaks-promo-1548467557347-facebookJumbo.png&_nc_hash=AQCLdFuhY6nk84vJ	https://www.nytimes.com/interactive/2019/01/26/us/politics/trump-contacts-russians-wikileaks.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-26T15:07:56+0000	1548515276	"2019-01-26 16:07:56"	8450	2447	17781	11869	32097	79	399	3940	150	4763	0
link	post_page_5281959998	5281959998_10151808165549999	https://www.facebook.com/5281959998/posts/10151808165549999/	"Two music fans begin married life after a wedding in a cemetery. The atmosphere was anything but funereal."	https://external.xx.fbcdn.net/safe_image.php?d=AQCrwB0WRANUTFen&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Ffashion%2Fweddings%2F27VOWS-Cemetery1%2F0VOWS-Cemetery-facebookJumbo.jpg&cfs=1&sx=212&sy=0&sw=550&sh=550&_nc_hash=AQAfhrYOfFyEARy-	https://external.xx.fbcdn.net/safe_image.php?d=AQBsYUYxFbJ6Az_9&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F27%2Ffashion%2Fweddings%2F27VOWS-Cemetery1%2F0VOWS-Cemetery-facebookJumbo.jpg&_nc_hash=AQCM2Omr80b8DtiD	https://www.nytimes.com/2019/01/25/fashion/weddings/cemetery-was-the-right-vibe-for-a-glamour-goth-wedding.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-26T14:55:00+0000	1548514500	"2019-01-26 15:55:00"	120	33	146	19	198	11	1	10	3	1	0
