type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_182919686769	182919686769_10156001393466770	https://www.facebook.com/182919686769/posts/10156001393466770/	"Lol what??"	https://external.xx.fbcdn.net/safe_image.php?d=AQCETz2FSzlwJIY_&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c522410a32b5b7cf72ca434%2F3f56597b17b3eeb1c146acb5e98c42e736a19f35_ddbda477b00d3dd25b9a9c8d69d7881de1637126_facebook&cfs=1&_nc_hash=AQDiqru5eIuh0ZtS	https://external.xx.fbcdn.net/safe_image.php?d=AQBTHPCqnK8A689O&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c522410a32b5b7cf72ca434%2F3f56597b17b3eeb1c146acb5e98c42e736a19f35_ddbda477b00d3dd25b9a9c8d69d7881de1637126_facebook&_nc_hash=AQBWJWPdEMuBBMvo	https://bit.ly/2sVSlYo	bit.ly	2019-01-31T06:00:01+0000	1548914401	"2019-01-31 07:00:01"	577	252	1096	197	1545	83	393	36	0	7	0
link	post_page_182919686769	182919686769_10156001368431770	https://www.facebook.com/182919686769/posts/10156001368431770/	"Meanwhile  the wall debate continues in Washington."	https://external.xx.fbcdn.net/safe_image.php?w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51cd28b30c4f58f570dd2b%2Fe8143d570c345f7d3b58d750dfb00eccc19ce313_7b354f5e37bb3a81f82534a9539621117af1dcdb_facebook&cfs=1&_nc_hash=AQDb5nAH76jnBs1g	https://external.xx.fbcdn.net/safe_image.php?d=AQDhw-BqAeeWwPWQ&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51cd28b30c4f58f570dd2b%2Fe8143d570c345f7d3b58d750dfb00eccc19ce313_7b354f5e37bb3a81f82534a9539621117af1dcdb_facebook&_nc_hash=AQDNyPBG1IWYlz8t	https://bit.ly/2Rsc3Vt	bit.ly	2019-01-31T05:30:05+0000	1548912605	"2019-01-31 06:30:05"	1277	165	1445	202	1812	149	2	13	1	3	0
link	post_page_182919686769	182919686769_10156001337741770	https://www.facebook.com/182919686769/posts/10156001337741770/	UGE	https://external.xx.fbcdn.net/safe_image.php?d=AQD084JqFjrw8-oq&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c5223eab30c4f5d026a09e6%2F2b3d33e599ee1fe85b92232209e295bf78f88c0f_ef10bcd903f138e5164373748c611dcb80bd64c3_facebook&cfs=1&_nc_hash=AQC-7jVgc44GC-9S	https://external.xx.fbcdn.net/safe_image.php?d=AQDidUt98O71h_P5&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c5223eab30c4f5d026a09e6%2F2b3d33e599ee1fe85b92232209e295bf78f88c0f_ef10bcd903f138e5164373748c611dcb80bd64c3_facebook&_nc_hash=AQBIAImZIu5sEY2k	https://bit.ly/2MJfl63	bit.ly	2019-01-31T05:00:28+0000	1548910828	"2019-01-31 06:00:28"	1181	41	1365	242	1648	100	21	60	1	2	0
link	post_page_182919686769	182919686769_10156001301626770	https://www.facebook.com/182919686769/posts/10156001301626770/	Absurd	https://external.xx.fbcdn.net/safe_image.php?d=AQAZIp3WX5R2E5PK&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c5223d832812a16c8026134%2F9daf04bbf645e9e3cf97e0e30f4bc4882b6f06de_9fb4208205d3bb08df10927be79d91b89b365f81_facebook&cfs=1&_nc_hash=AQCbkxyvlxAjbeMh	https://external.xx.fbcdn.net/safe_image.php?d=AQB9hk1lpXfSA5dK&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c5223d832812a16c8026134%2F9daf04bbf645e9e3cf97e0e30f4bc4882b6f06de_9fb4208205d3bb08df10927be79d91b89b365f81_facebook&_nc_hash=AQCSCsA7Auq_AKgA	https://bit.ly/2sY5znG	bit.ly	2019-01-31T04:30:04+0000	1548909004	"2019-01-31 05:30:04"	142	1439	2611	537	4587	4	25	73	244	2123	0
link	post_page_182919686769	182919686769_10156001271786770	https://www.facebook.com/182919686769/posts/10156001271786770/	"Democrats weren t expecting that."	https://external.xx.fbcdn.net/safe_image.php?d=AQA2hP41rFtcXvCn&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c524df9b30c4f334a1b9e72%2Fe0413dc228acfce3b0da5bf7a7a370f43575e028_77aa3ea8a20370a8b76b13ac5f8ae0b5232a2d0a_facebook&cfs=1&_nc_hash=AQCSyCpVg--i80OI	https://external.xx.fbcdn.net/safe_image.php?d=AQDRHi_6muNhVsel&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c524df9b30c4f334a1b9e72%2Fe0413dc228acfce3b0da5bf7a7a370f43575e028_77aa3ea8a20370a8b76b13ac5f8ae0b5232a2d0a_facebook&_nc_hash=AQBtmXlyAgIS6BjW	https://bit.ly/2RsHizD	bit.ly	2019-01-31T04:00:01+0000	1548907201	"2019-01-31 05:00:01"	358	128	407	54	589	23	17	5	1	3	0
link	post_page_182919686769	182919686769_10156001236521770	https://www.facebook.com/182919686769/posts/10156001236521770/	"He wasn t happy."	https://external.xx.fbcdn.net/safe_image.php?d=AQCMF5p-0jniC9XH&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c524d3e00c63f40332e7f45%2Fe0413dc228acfce3b0da5bf7a7a370f43575e028_13d5a6b39c7b12da83f2756b18f60fd11c7aa754_facebook&cfs=1&_nc_hash=AQCAbMs75eu2_QQN	https://external.xx.fbcdn.net/safe_image.php?d=AQAsq10IfSraoP2z&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c524d3e00c63f40332e7f45%2Fe0413dc228acfce3b0da5bf7a7a370f43575e028_13d5a6b39c7b12da83f2756b18f60fd11c7aa754_facebook&_nc_hash=AQDH8MF-5EfrgEQA	https://bit.ly/2MHvcSP	bit.ly	2019-01-31T03:30:12+0000	1548905412	"2019-01-31 04:30:12"	367	200	708	97	1005	2	4	53	21	261	0
link	post_page_182919686769	182919686769_10156001201801770	https://www.facebook.com/182919686769/posts/10156001201801770/	"This is HUGE."	https://external.xx.fbcdn.net/safe_image.php?d=AQDb5iJgiB79u3RS&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c525de732812a5ce42bee07%2Fe0413dc228acfce3b0da5bf7a7a370f43575e028_3897b20eda20d61fe5561119494fde6ac5f0f821_facebook&cfs=1&_nc_hash=AQD7syx2q20mvJiG	https://external.xx.fbcdn.net/safe_image.php?d=AQC1KQhXFZLN8A3i&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c525de732812a5ce42bee07%2Fe0413dc228acfce3b0da5bf7a7a370f43575e028_3897b20eda20d61fe5561119494fde6ac5f0f821_facebook&_nc_hash=AQDCIJOMKaXhbTb4	https://bit.ly/2WE15jI	bit.ly	2019-01-31T03:00:14+0000	1548903614	"2019-01-31 04:00:14"	1258	109	1403	143	1655	114	14	9	2	6	0
link	post_page_182919686769	182919686769_10156001165876770	https://www.facebook.com/182919686769/posts/10156001165876770/	"She still hasn t returned to the bench."	https://external.xx.fbcdn.net/safe_image.php?d=AQB3ADKzE31NqYWe&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c52588bb30c4f7d77653ef9%2Fe0413dc228acfce3b0da5bf7a7a370f43575e028_6116f92c8e033c3fe37576cf9d2502673babade7_facebook&cfs=1&_nc_hash=AQCKXESsXGTDI1bL	https://external.xx.fbcdn.net/safe_image.php?d=AQC3FbTxkwAPuOU6&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c52588bb30c4f7d77653ef9%2Fe0413dc228acfce3b0da5bf7a7a370f43575e028_6116f92c8e033c3fe37576cf9d2502673babade7_facebook&_nc_hash=AQAJMb8Px-rxZh5M	https://bit.ly/2Wt3kWN	bit.ly	2019-01-31T02:30:08+0000	1548901808	"2019-01-31 03:30:08"	413	118	461	39	618	24	5	16	1	2	0
link	post_page_182919686769	182919686769_10156001089641770	https://www.facebook.com/182919686769/posts/10156001089641770/	"They stormed his house  guns drawn  before dawn."	https://external.xx.fbcdn.net/safe_image.php?d=AQBZiRZ2iegez6Ly&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c5248c132812a408f130b72%2F712368790769c1357138497742a3539a28412e73_d1eb9342bea019b2fbb99a7c68218a3c3c39084a_facebook&cfs=1&_nc_hash=AQBKD47i9yFcZVcp	https://external.xx.fbcdn.net/safe_image.php?d=AQCeYfUK3_2ZuUqm&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c5248c132812a408f130b72%2F712368790769c1357138497742a3539a28412e73_d1eb9342bea019b2fbb99a7c68218a3c3c39084a_facebook&_nc_hash=AQAPhqwW0h-4zlRl	https://bit.ly/2RoDOOV	bit.ly	2019-01-31T02:00:35+0000	1548900035	"2019-01-31 03:00:35"	2190	398	2393	316	3107	132	11	15	6	39	0
link	post_page_182919686769	182919686769_10156001044391770	https://www.facebook.com/182919686769/posts/10156001044391770/	"Democrats have to give something."	https://external.xx.fbcdn.net/safe_image.php?d=AQAzfiVrcTBgvbzC&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c524b0e3e599b4703204e95%2Fe0413dc228acfce3b0da5bf7a7a370f43575e028_cfb2009daeff11cb28ee7691bf355febfcbc5cf2_facebook&cfs=1&_nc_hash=AQBDjy8xSg1zr7aY	https://external.xx.fbcdn.net/safe_image.php?d=AQDzGk9i2gGQD3yn&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c524b0e3e599b4703204e95%2Fe0413dc228acfce3b0da5bf7a7a370f43575e028_cfb2009daeff11cb28ee7691bf355febfcbc5cf2_facebook&_nc_hash=AQDSFjYXqmapakNC	https://bit.ly/2WxPLoX	bit.ly	2019-01-31T01:30:08+0000	1548898208	"2019-01-31 02:30:08"	410	128	463	22	613	26	0	4	14	9	0
