type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_182919686769	182919686769_293739631318252	https://www.facebook.com/DailyCaller/videos/293739631318252/	"Leftist protester believes that emotions override facts."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/51080390_293739517984930_1333745657902530560_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=df6105c94f5d6114e4bf3f94edbe2cfd&oe=5CF2A24B	https://scontent.xx.fbcdn.net/v/t15.5256-10/51080390_293739517984930_1333745657902530560_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=c1639a4f6776df7c2b5b6a4f3fbd3bc5&oe=5CF581B9	https://www.facebook.com/DailyCaller/videos/293739631318252/	facebook.com	2019-01-30T23:37:35+0000	1548891455	"2019-01-31 00:37:35"	1877	4553	8028	6010	18591	67	4576	485	238	785	0
link	post_page_182919686769	182919686769_10156000872311770	https://www.facebook.com/182919686769/posts/10156000872311770/	WHAT????	https://external.xx.fbcdn.net/safe_image.php?d=AQCZRZnuITKkshAl&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51f52a00c63f56f71d3434%2F7caad73e363737a7905c8d6e605be51bf24d69cc_dfde6f62d42b80ae92b662f707bd218c71e525dd_facebook&cfs=1&_nc_hash=AQCoaisfXQm37qwR	https://external.xx.fbcdn.net/safe_image.php?d=AQA6DZ6xlJaJpp_B&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51f52a00c63f56f71d3434%2F7caad73e363737a7905c8d6e605be51bf24d69cc_dfde6f62d42b80ae92b662f707bd218c71e525dd_facebook&_nc_hash=AQDnFHiKL9OmpGDS	https://bit.ly/2GbOpdY	bit.ly	2019-01-30T23:30:08+0000	1548891008	"2019-01-31 00:30:08"	6241	1273	15437	10271	26981	39	988	2653	265	5251	0
link	post_page_182919686769	182919686769_10156000817436770	https://www.facebook.com/182919686769/posts/10156000817436770/	" Morally repugnant "	https://external.xx.fbcdn.net/safe_image.php?d=AQAdk1aA4Nl24fB8&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c521643a4b3ff70fe5677d4%2F9ad2501f6afed8e21af0665ef9fb7a3248099b74_c8dfe8d5a2df8bb70c11762164737009513221a4_facebook&cfs=1&_nc_hash=AQA4JY1DuHQCrezP	https://external.xx.fbcdn.net/safe_image.php?d=AQBsSpbWeWE19CWA&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c521643a4b3ff70fe5677d4%2F9ad2501f6afed8e21af0665ef9fb7a3248099b74_c8dfe8d5a2df8bb70c11762164737009513221a4_facebook&_nc_hash=AQBOICHPPsZCCQsd	https://bit.ly/2Wy0qQT	bit.ly	2019-01-30T23:00:20+0000	1548889220	"2019-01-31 00:00:20"	20661	2454	24185	5362	32001	1980	33	722	291	498	0
video	post_page_182919686769	182919686769_299574280909881	https://www.facebook.com/DailyCaller/videos/299574280909881/	"Starbucks owner  Howard Schultz  is running for the 2020 election and Democrats aren t happy."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/50949760_299574220909887_8259995174256508928_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=21ae5d1e525d8204b68cae84a648b09a&oe=5CEEB735	https://scontent.xx.fbcdn.net/v/t15.5256-10/50949760_299574220909887_8259995174256508928_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=dfae084ee32e540397e9292790794a75&oe=5CC104C7	https://www.facebook.com/DailyCaller/videos/299574280909881/	facebook.com	2019-01-30T22:40:47+0000	1548888047	"2019-01-30 23:40:47"	1077	841	1713	474	3028	44	543	13	8	28	0
link	post_page_182919686769	182919686769_10156000773556770	https://www.facebook.com/182919686769/posts/10156000773556770/	"Oh  boy."	https://external.xx.fbcdn.net/safe_image.php?d=AQCiSX886hR4K56n&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51d6baa32b5b57c514df6b%2Facbf42f9c32f49c44ccc0dc5072065c9b419ef63_5799981e5ce0b062becd34dc632ccd8efeebf2d7_facebook&cfs=1&_nc_hash=AQCgs721trgNfD2i	https://external.xx.fbcdn.net/safe_image.php?d=AQAcjmz97Rn75oL4&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51d6baa32b5b57c514df6b%2Facbf42f9c32f49c44ccc0dc5072065c9b419ef63_5799981e5ce0b062becd34dc632ccd8efeebf2d7_facebook&_nc_hash=AQAsWjaQsOAEKsGr	https://bit.ly/2RvHqyI	bit.ly	2019-01-30T22:30:20+0000	1548887420	"2019-01-30 23:30:20"	177	441	715	64	1220	3	162	28	13	332	0
link	post_page_182919686769	182919686769_10156000729081770	https://www.facebook.com/182919686769/posts/10156000729081770/	"That escalated quickly."	https://external.xx.fbcdn.net/safe_image.php?d=AQAG_djw8HsMpCXy&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51cd879d026d02c0787cd3%2F7e96f9695f88b687c7e10b8bfc17703b190a919d_dcd89b8841a9259b231c077c7ee9ee2343fd358a_facebook&cfs=1&_nc_hash=AQB4Z4RfexVNaJuX	https://external.xx.fbcdn.net/safe_image.php?d=AQDlXTejZFD7csod&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51cd879d026d02c0787cd3%2F7e96f9695f88b687c7e10b8bfc17703b190a919d_dcd89b8841a9259b231c077c7ee9ee2343fd358a_facebook&_nc_hash=AQASTH_84UGI4YBG	https://bit.ly/2Royrit	bit.ly	2019-01-30T22:00:16+0000	1548885616	"2019-01-30 23:00:16"	115	45	202	19	266	3	61	17	0	6	0
link	post_page_182919686769	182919686769_10156000685626770	https://www.facebook.com/182919686769/posts/10156000685626770/	"BIG TIME!!!"	https://external.xx.fbcdn.net/safe_image.php?d=AQDBGIPynVvIuQsL&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c52131600c63f5a581f33f4%2Fced9b79c0009c760d6ffcec1e36d8841e8dec610_a9cdc2c6eb244a19798129bc4cc3588cdefc2f00_facebook&cfs=1&_nc_hash=AQAblQdC8kYvpnS5	https://external.xx.fbcdn.net/safe_image.php?d=AQBFBpc4tISlRADU&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c52131600c63f5a581f33f4%2Fced9b79c0009c760d6ffcec1e36d8841e8dec610_a9cdc2c6eb244a19798129bc4cc3588cdefc2f00_facebook&_nc_hash=AQANiIaT1dZQTzIc	https://bit.ly/2HHsopF	bit.ly	2019-01-30T21:30:06+0000	1548883806	"2019-01-30 22:30:06"	18222	1876	21415	1966	25257	2904	35	211	24	19	0
video	post_page_182919686769	182919686769_10156000655996770	https://www.facebook.com/182919686769/posts/10156000655996770/	"In a Daily Caller Exclusive interview  Roger Stone shed some light on Trump s connection to Wikileaks."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/50670117_2785940954964619_3202224351998902272_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=3e51b1a33df357f5002c83ee716d503b&oe=5CF1641B	https://scontent.xx.fbcdn.net/v/t15.5256-10/50670117_2785940954964619_3202224351998902272_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=dd46752294cb38b4a7855871c7e88060&oe=5CFFE25D	https://www.facebook.com/DailyCaller/videos/2785949164963798/	facebook.com	2019-01-30T21:09:14+0000	1548882554	"2019-01-30 22:09:14"	298	149	341	103	593	17	15	5	2	4	0
link	post_page_182919686769	182919686769_10156000641841770	https://www.facebook.com/182919686769/posts/10156000641841770/	"He didn t mince words."	https://external.xx.fbcdn.net/safe_image.php?d=AQDZuqQ7q4rSkbiK&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51cb95a4b3ff3e141a6e98%2F728c642f11b02d9452572f73d2dceb431ced6da5_46cca703d000f35a326d67135bb31e44689e6bd7_facebook&cfs=1&_nc_hash=AQDH_Et9NJWc2c5G	https://external.xx.fbcdn.net/safe_image.php?d=AQDnXSuc2wqkXnQP&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51cb95a4b3ff3e141a6e98%2F728c642f11b02d9452572f73d2dceb431ced6da5_46cca703d000f35a326d67135bb31e44689e6bd7_facebook&_nc_hash=AQCSUNTCJqdye5MY	https://bit.ly/2UrpMxG	bit.ly	2019-01-30T21:00:13+0000	1548882013	"2019-01-30 22:00:13"	4138	471	4704	327	5502	277	184	64	7	34	0
link	post_page_182919686769	182919686769_10156000596346770	https://www.facebook.com/182919686769/posts/10156000596346770/	?????	https://external.xx.fbcdn.net/safe_image.php?d=AQDUKTT6h5G5vumJ&w=130&h=130&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51f00400c63f2452251312%2Fa1f75222f0dfdbca5911219b7845dfb1f5e78ce0_87e99d89f5067b4c07a32561d8c0342a94545996_facebook&cfs=1&_nc_hash=AQDKqbaEjYeDtLZO	https://external.xx.fbcdn.net/safe_image.php?d=AQDU6Fpe58JKrzSW&url=https%3A%2F%2Fbuffer-media-uploads.s3.amazonaws.com%2F5c51f00400c63f2452251312%2Fa1f75222f0dfdbca5911219b7845dfb1f5e78ce0_87e99d89f5067b4c07a32561d8c0342a94545996_facebook&_nc_hash=AQDEsbis-KO77M3O	https://bit.ly/2HGYhii	bit.ly	2019-01-30T20:30:21+0000	1548880221	"2019-01-30 21:30:21"	898	428	2240	799	3467	5	1186	94	24	33	0
