type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_page_15704546335	15704546335_10157788936061336	https://www.facebook.com/15704546335/posts/10157788936061336/	"INCREDIBLE: An Ohio photographer captured these stunning images of a Lake Erie pier encased in ice."	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/51332213_10157788928381336_5853819164912779264_n.png?_nc_cat=107&_nc_ht=scontent.xx&oh=4f154e45537836097df780f2ab8fa7b4&oe=5CF3E6CE	https://scontent.xx.fbcdn.net/v/t1.0-9/51332213_10157788928381336_5853819164912779264_n.png?_nc_cat=107&_nc_ht=scontent.xx&oh=376f977e5ab091ae59a89b0de5067bc1&oe=5CF8A369	https://www.facebook.com/FoxNews/photos/a.184044921335/10157788928361336/?type=3	facebook.com	2019-01-31T09:00:01+0000	1548925201	"2019-01-31 10:00:01"	143	21	241	82	344	17	0	80	1	0	0
video	post_page_15704546335	15704546335_789431218100527	https://www.facebook.com/FoxNews/videos/789431218100527/	"Wind chill temperatures have dropped into dangerous territories as Arctic winds from the polar vortex sweep through the country. https://fxn.ws/2G035hc"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/51188203_789448541432128_167509471210242048_n.jpg?_nc_cat=101&_nc_ht=scontent.xx&oh=f3d8cfee912f50207fafbf15100e5b4a&oe=5CC2F906	https://scontent.xx.fbcdn.net/v/t15.5256-10/51188203_789448541432128_167509471210242048_n.jpg?_nc_cat=101&_nc_ht=scontent.xx&oh=1935dda9898004c68a3006d7fd963311&oe=5CF8145D	https://www.facebook.com/FoxNews/videos/789431218100527/	facebook.com	2019-01-31T08:52:27+0000	1548924747	"2019-01-31 09:52:27"	222	585	476	194	1255	23	19	154	53	5	0
link	post_page_15704546335	15704546335_10157788974331336	https://www.facebook.com/15704546335/posts/10157788974331336/	"Did New Orleans Saints head coach Sean Payton troll NFL Commissioner Roger Goodell with a subtle fashion choice?"	https://external.xx.fbcdn.net/safe_image.php?d=AQCg2SwF0lEM9xY5&w=130&h=130&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2FSean-Payton.jpg&cfs=1&sx=372&sy=0&sw=576&sh=576&_nc_hash=AQDIv75jzhmrk7n-	https://external.xx.fbcdn.net/safe_image.php?d=AQDJaT7o-WCyHy2J&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2FSean-Payton.jpg&_nc_hash=AQD99cx_EucJFqfC	https://www.foxnews.com/sports/new-orleans-saints-coach-takes-apparent-dig-at-goodell-with-t-shirt	foxnews.com	2019-01-31T08:40:00+0000	1548924000	"2019-01-31 09:40:00"	143	77	206	20	303	16	45	1	0	1	0
link	post_page_15704546335	15704546335_10157789116866336	https://www.facebook.com/15704546335/posts/10157789116866336/	"Six immigrants at a U.S. Immigration and Customs Enforcement center in El Paso  Texas  are being force-fed through plastic nasal tubes after taking part in a hunger strike that spanned for a month."	https://external.xx.fbcdn.net/safe_image.php?d=AQDRx8ut28xXhXCJ&w=130&h=130&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2FICE-Detention-Center_THUMB.jpg&cfs=1&_nc_hash=AQCIt8L83Z17MN4w	https://external.xx.fbcdn.net/safe_image.php?d=AQDK_7wlLwcgTeNZ&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2FICE-Detention-Center_THUMB.jpg&_nc_hash=AQDNF7oTBaI_K-mN	https://www.foxnews.com/us/ice-officials-force-feed-6-immigrants-on-hunger-strike-at-texas-detention-center	foxnews.com	2019-01-31T08:20:00+0000	1548922800	"2019-01-31 09:20:00"	335	784	781	129	1694	10	317	55	18	46	0
link	post_page_15704546335	15704546335_10157788756596336	https://www.facebook.com/15704546335/posts/10157788756596336/	"A “natural medicine physician” in California has lost his medical license after recommending a father give his 4-year-old marijuana cookies to treat the boy s temper tantrums."	https://external.xx.fbcdn.net/safe_image.php?d=AQDV8XQjxmdnIL9R&w=130&h=130&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F30%2F694940094001_5996460429001_5996457114001-vs.jpg&cfs=1&_nc_hash=AQDTrwH1dTxM6wpi	https://external.xx.fbcdn.net/safe_image.php?d=AQCg1QlcayAGvMu1&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F30%2F694940094001_5996460429001_5996457114001-vs.jpg&_nc_hash=AQAreCzzjnpCpJ_3	https://www.foxnews.com/health/california-doctor-license-revoked-prescribing-pot-cookies-to-treat-boys-temper-tantrums	foxnews.com	2019-01-31T08:00:00+0000	1548921600	"2019-01-31 09:00:00"	279	394	591	139	1124	20	158	78	16	40	0
video	post_page_15704546335	15704546335_380740796085455	https://www.facebook.com/FoxNews/videos/380740796085455/	"Live video shows the temperature displayed in Milwaukee  Wisconsin. (Courtesy WITI) https://fxn.ws/2FYLx4P"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/51010922_380748352751366_8493119432078393344_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=74e7093ffcd7758730eb01dd6a5dd98e&oe=5CF1930A	https://scontent.xx.fbcdn.net/v/t15.5256-10/s12x12/51010922_380748352751366_8493119432078393344_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=69d147a838053205985e710e657b6639&oe=5CB4E508	https://www.facebook.com/FoxNews/videos/380740796085455/	facebook.com	2019-01-31T07:43:05+0000	1548920585	"2019-01-31 08:43:05"	419	1135	884	156	2175	56	41	329	30	9	0
video	post_page_15704546335	15704546335_10157788663121336	https://www.facebook.com/15704546335/posts/10157788663121336/	" [Howard Schultz] ripped Medicare-for-all  government paid college. He said there s nothing free  there s nothing free. That s not what the Democrats want to hear.   The  Special Report  panel discusses progressive Democrats pushing for universal health coverage  and criticism from former Starbucks CEO Howard Schultz."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/51458398_788988748115835_6011248008576892928_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=128b304942af3683d804507115515302&oe=5CC1FED5	https://scontent.xx.fbcdn.net/v/t15.5256-10/51458398_788988748115835_6011248008576892928_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=3d4559904067564b8a0d02ec6e6b48f0&oe=5CBEB727	https://www.facebook.com/SpecialReport/videos/788986994782677/	facebook.com	2019-01-31T07:30:00+0000	1548919800	"2019-01-31 08:30:00"	125	220	163	44	427	9	23	1	0	5	0
photo	post_page_15704546335	15704546335_10157789078466336	https://www.facebook.com/15704546335/posts/10157789078466336/	"“Although I am sure these tactics would be standard procedure for the arrest of a violent offender  I have questions regarding their necessity in this case.   Sen. Lindsey Graham sent a letter to the FBI Wednesday asking questions about the arrest of Roger Stone."	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/51138322_10157789076791336_8958767468344508416_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=786667c8d7e4d2c1eecc01ec3c86784f&oe=5D00B230	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/50745261_10157789076786336_1913425050107641856_o.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=c11430e56509c09292e5b5488c5f0ad4&oe=5CFF32A6	https://www.facebook.com/FoxNews/photos/a.184044921335/10157789076781336/?type=3	facebook.com	2019-01-31T07:02:59+0000	1548918179	"2019-01-31 08:02:59"	2277	1037	2612	391	4040	158	92	20	15	50	0
link	post_page_15704546335	15704546335_10157789126661336	https://www.facebook.com/15704546335/posts/10157789126661336/	"OPINION:  The law permits killing a child – who otherwise could survive outside the womb – based solely on the mother’s preferences at the moment. "	https://external.xx.fbcdn.net/safe_image.php?d=AQAfPgLiaiOlJ6kp&w=130&h=130&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F27%2F694940094001_5995023255001_5995022431001-vs.jpg&cfs=1&sx=154&sy=0&sw=416&sh=416&_nc_hash=AQAtzuDkOpFdUn4a	https://external.xx.fbcdn.net/safe_image.php?d=AQAJHzFZdrXXUI6v&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F27%2F694940094001_5995023255001_5995022431001-vs.jpg&_nc_hash=AQAqcCZoyZJujsCD	https://www.foxnews.com/opinion/indiana-attorney-general-curtis-hill-new-yorks-extreme-pro-abortion-law-is-backward-and-barbaric	foxnews.com	2019-01-31T06:30:00+0000	1548916200	"2019-01-31 07:30:00"	2340	1522	4560	1063	7145	57	15	59	568	1521	0
video	post_page_15704546335	15704546335_329681861001165	https://www.facebook.com/FoxNews/videos/329681861001165/	"Wind chill temperatures have dropped into dangerous territories as Arctic winds from the polar vortex sweep through the country. https://fxn.ws/2G035hc"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/51764092_329694334333251_7796432881483513856_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=adf385182b3c38d1b2bcc02494168b73&oe=5CF5934C	https://scontent.xx.fbcdn.net/v/t15.5256-10/s12x12/51764092_329694334333251_7796432881483513856_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=9e14c07de8ecaf86dc4f3b10ca1c007f&oe=5CB40D4E	https://www.facebook.com/FoxNews/videos/329681861001165/	facebook.com	2019-01-31T06:14:55+0000	1548915295	"2019-01-31 07:14:55"	667	2477	1477	639	4593	96	49	488	163	14	0
link	post_page_15704546335	15704546335_10157788970396336	https://www.facebook.com/15704546335/posts/10157788970396336/	"“Russia and China are using Venezuela as a proxy conflict to challenge the U.S.   said Joseph Humire  executive director of the Center for a Secure Free Society  an independent global research group."	https://external.xx.fbcdn.net/safe_image.php?d=AQDVoXhMI4YXcyuT&w=130&h=130&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F30%2F694940094001_5996396709001_5996386320001-vs.jpg&cfs=1&sx=262&sy=0&sw=720&sh=720&_nc_hash=AQBhAatod3WzVnb8	https://external.xx.fbcdn.net/safe_image.php?d=AQDBtaYpiL9KpaSQ&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F30%2F694940094001_5996396709001_5996386320001-vs.jpg&_nc_hash=AQA7D1YiA9lqjseX	https://www.foxnews.com/world/why-russia-china-are-fighting-us-push-against-venezuelas-maduro	foxnews.com	2019-01-31T06:03:12+0000	1548914592	"2019-01-31 07:03:12"	412	550	718	219	1487	7	27	60	8	204	0
video	post_page_15704546335	15704546335_10157789061201336	https://www.facebook.com/15704546335/posts/10157789061201336/	" At 22 days there’s a heartbeat  if that’s not a life  then tell me what it is.   Actor Kevin Sorbo joined Shannon Bream on “Fox News @ Night” to explain his pro-life beliefs."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/50687396_402968160509507_2482399163313029120_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=94d471977e0f6f1d59e400efed899358&oe=5CC1D11E	https://scontent.xx.fbcdn.net/v/t15.5256-10/50687396_402968160509507_2482399163313029120_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=8cd64e71b23c5e7c956c69da163d9f65&oe=5CEDDCEC	https://www.facebook.com/FoxNews/videos/402965870509736/	facebook.com	2019-01-31T05:33:43+0000	1548912823	"2019-01-31 06:33:43"	3191	1127	4045	1548	6720	506	15	13	289	31	0
link	post_page_15704546335	15704546335_10157788750716336	https://www.facebook.com/15704546335/posts/10157788750716336/	"Virginia Gov. Ralph Northam came under fire Wednesday after he waded into the fight over a controversial abortion bill that one sponsor said could allow women to terminate a pregnancy up until the moment before birth -- with critics saying Northam indicated a child could be killed after birth."	https://external.xx.fbcdn.net/safe_image.php?d=AQDmJuswU25jlnIV&w=130&h=130&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F23%2F694940094001_5993052133001_5993052587001-vs.jpg&cfs=1&_nc_hash=AQAmPPDHDHlFdPnq	https://external.xx.fbcdn.net/safe_image.php?d=AQDMYdSQoFNYiapy&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F23%2F694940094001_5993052133001_5993052587001-vs.jpg&_nc_hash=AQD2QetIgGVxs-NP	https://www.foxnews.com/politics/va-gov-faces-backlash-for-comments-on-controversial-third-trimester-abortion-bill	foxnews.com	2019-01-31T05:01:00+0000	1548910860	"2019-01-31 06:01:00"	1153	2850	6309	1708	10867	31	15	126	969	4015	0
link	post_page_15704546335	15704546335_10157788321201336	https://www.facebook.com/15704546335/posts/10157788321201336/	"The ranking Republican on the House Judiciary Committee sent a letter to the FBI Director Wednesday  questioning the force used when arresting Roger Stone."	https://external.xx.fbcdn.net/safe_image.php?d=AQAXxQTssDdjH_c6&w=130&h=130&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F25%2F694940094001_5993899238001_5993895337001-vs.jpg&cfs=1&sx=239&sy=0&sw=720&sh=720&_nc_hash=AQBqbZaZU9WeGabi	https://external.xx.fbcdn.net/safe_image.php?d=AQAsHAak9bjxEkrc&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F25%2F694940094001_5993899238001_5993895337001-vs.jpg&_nc_hash=AQBn395ZmTrxZOqz	https://www.foxnews.com/politics/ranking-judiciary-committee-republican-wants-fbi-to-explain-use-of-force-in-stone-arrest	foxnews.com	2019-01-31T04:12:28+0000	1548907948	"2019-01-31 05:12:28"	8563	2698	9708	1472	13878	716	290	46	18	75	0
link	post_page_15704546335	15704546335_10157785344971336	https://www.facebook.com/15704546335/posts/10157785344971336/	" All crime and illegal activities in Noblesville and the surrounding areas  will be prohibited until further notice. "	https://external.xx.fbcdn.net/safe_image.php?d=AQBaR36w92QYq1Md&w=130&h=130&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F29%2F694940094001_5995993210001_5995812661001-vs.jpg&cfs=1&_nc_hash=AQBBINHezeicDxgB	https://external.xx.fbcdn.net/safe_image.php?d=AQD-rnyqdWqUgDaw&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F29%2F694940094001_5995993210001_5995812661001-vs.jpg&_nc_hash=AQAjRt5n0uGnBbbp	https://www.foxnews.com/us/indiana-city-bans-all-crime-during-cold-snap	foxnews.com	2019-01-31T03:41:09+0000	1548906069	"2019-01-31 04:41:09"	4816	2867	22279	7700	32846	137	16581	699	30	16	0
link	post_page_15704546335	15704546335_10157788816486336	https://www.facebook.com/15704546335/posts/10157788816486336/	"DEVELOPING: Photos of  people of interest  connected to the alleged attack on  Empire  actor Jussie Smollett were released by the Chicago Police Department Wednesday night."	https://external.xx.fbcdn.net/safe_image.php?d=AQDZ4uHI8AwHKCrg&w=130&h=130&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2FEmpire-Actor-attack-1.jpg&cfs=1&_nc_hash=AQAiO5sCqvbdXCV6	https://external.xx.fbcdn.net/safe_image.php?d=AQADqegnF9RItHCA&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2FEmpire-Actor-attack-1.jpg&_nc_hash=AQBGJQ3bsw7MAPF4	https://www.foxnews.com/entertainment/chicago-police-release-person-of-interest-photos-in-empire-actors-alleged-attack-case	foxnews.com	2019-01-31T02:48:34+0000	1548902914	"2019-01-31 03:48:34"	810	3670	3010	385	7065	10	1817	237	66	70	0
link	post_page_15704546335	15704546335_10157788328706336	https://www.facebook.com/15704546335/posts/10157788328706336/	"The Pentagon will send several thousand more troops to the U.S.-Mexico border as the military prepares to expand efforts to improve security in the region  defense officials said Tuesday."	https://external.xx.fbcdn.net/safe_image.php?d=AQBz7YjCEuBWspl7&w=130&h=130&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2FBoder.jpg&cfs=1&_nc_hash=AQDA9pCe60MnBfr-	https://external.xx.fbcdn.net/safe_image.php?d=AQBpMvSMU5jsQ3O3&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2FBoder.jpg&_nc_hash=AQAKppEbMBg_vjvE	https://www.foxnews.com/us/pentagon-to-send-several-thousand-more-troops-to-southern-border	foxnews.com	2019-01-31T02:17:39+0000	1548901059	"2019-01-31 03:17:39"	8421	1487	9852	1634	12973	1271	78	31	15	36	0
link	post_page_15704546335	15704546335_10157788291311336	https://www.facebook.com/15704546335/posts/10157788291311336/	"Carey Hart sparked mixed reactions Wednesday when he posted a video showing his daughter shooting a rifle  explaining that he s raising his kids with a  knowledge of fire arms. "	https://external.xx.fbcdn.net/safe_image.php?d=AQCX-MB4tOZrngMa&w=130&h=130&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2018%2F11%2FHart-Pink-Getty.jpg&cfs=1&sx=247&sy=0&sw=720&sh=720&_nc_hash=AQBfrqvQ5iKg31jX	https://external.xx.fbcdn.net/safe_image.php?d=AQAAtHUpD0P9Et-U&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2018%2F11%2FHart-Pink-Getty.jpg&_nc_hash=AQCNqp90yOtCfA4P	https://www.foxnews.com/entertainment/carey-hart-shares-video-of-daughter-7-shooting-a-rifle-im-raising-the-kids-with-knowledge-of-fire-arms	foxnews.com	2019-01-31T01:33:35+0000	1548898415	"2019-01-31 02:33:35"	27012	2529	30719	1125	34373	3558	96	26	7	20	0
video	post_page_15704546335	15704546335_2312338785710590	https://www.facebook.com/FoxNews/videos/2312338785710590/	"Wind chill temperatures have dropped into dangerous territories as Arctic winds from the polar vortex sweep through the country. https://fxn.ws/2G035hc"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/50708897_2312413259036476_6908698394491879424_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=8efa7a8c8655bfc31fe229c469d3fb49&oe=5CB2F0F9	https://scontent.xx.fbcdn.net/v/t15.5256-10/s12x12/50708897_2312413259036476_6908698394491879424_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=cc12b92606a3d0044c699ace14c4f634&oe=5CF320E7	https://www.facebook.com/FoxNews/videos/2312338785710590/	facebook.com	2019-01-31T00:49:02+0000	1548895742	"2019-01-31 01:49:02"	2538	6687	5314	2427	14428	288	198	1800	430	60	0
link	post_page_15704546335	15704546335_10157788395901336	https://www.facebook.com/15704546335/posts/10157788395901336/	"BREAKING: Sen. Rand Paul was awarded over $580 000 in damages by a Kentucky jury on Wednesday after he was attacked by his neighbor in the fall of 2017."	https://scontent.xx.fbcdn.net/v/t39.2147-6/c29.0.130.130a/p130x130/51645501_2289077368042361_248398673354948608_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=6ba26ee0e9ba29cac177489a01fbb7ac&oe=5CC30D11	https://scontent.xx.fbcdn.net/v/t39.2147-6/51645501_2289077368042361_248398673354948608_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=a6b8d07c3c39ae3ee3a05ed275f18142&oe=5CB49A40	https://www.foxnews.com/politics/sen-rand-paul-awarded-over-580g-after-he-was-attacked-by-neighbor	foxnews.com	2019-01-30T23:57:02+0000	1548892622	"2019-01-31 00:57:02"	30356	2492	34512	3042	40046	2962	681	441	16	56	0
photo	post_page_15704546335	15704546335_10157786200126336	https://www.facebook.com/15704546335/posts/10157786200126336/	"On “Hannity” Tuesday night  Eric Trump said his father should declare national emergency and build a southern border wall if negotiations with congressional Democrats fail. https://fxn.ws/2TkuqNP"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/51006989_10157786199906336_871090638316109824_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=8b2be6cc96e658d4ae1da46701a2bbfc&oe=5CC0F650	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/50771253_10157786199911336_7897918139734687744_o.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=fcd09b349425154cabbfb31dfe59b9ab&oe=5CF24639	https://www.facebook.com/FoxNews/photos/a.184044921335/10157786199901336/?type=3	facebook.com	2019-01-30T23:35:31+0000	1548891331	"2019-01-31 00:35:31"	20587	5661	23964	1922	31547	2614	591	22	7	143	0
